sender,sender_type,sender_id,timestamp,duration,ended_on,image,response,time_commit,time_end,time_render,time_run,time_show,time_switch
ID04,html.Screen,17,2026-06-03T07:14:34.157Z,29741.40000000014,response,images/edad_x_4.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",806575.4,806575.0000000001,776820.3,776823.4,776833.6,806581.7
ID04,html.Screen,18,2026-06-03T07:14:53.694Z,19529.500000000116,response,images/https___www_losandes_com_ar_sociedad_esi_y_riesgos_digitales_el_plan_oficial_fortalecer_estrategias_las_escuelas_mendoza_n5987124.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",826111.6,826111.2000000001,806568.328,806575.7000000001,806581.7,826120.5
ID04,html.Screen,19,2026-06-03T07:15:10.030Z,16326.70000000007,response,images/gemini_2.png,"{""credibility"":""3"",""quality"":""4"",""correctness"":""4"",""interest"":""5""}",842447.5000000001,842447.2000000001,826110.658,826111.9,826120.5,842460.6
ID04,html.Screen,20,2026-06-03T07:15:26.534Z,16490.699999999953,response,images/https___kchcomunicacion_com_2026_04_09_comision_impulsa_reformas_para_proteger_a_ninas_ninos_y_adolescentes_frente_a_riesgos_de_plataformas_digitales_.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",858951.6,858951.2999999999,842447.3,842447.7000000001,842460.6,
ID05,html.Screen,0,2026-05-29T07:57:54.068Z,427467.9,response,images/edad_x_3.png,"{""credibility"":""4"",""quality"":""3"",""correctness"":""4"",""interest"":""5""}",427745.9,427745.4,277.364,264.4000000000233,277.5,427751.8
ID05,html.Screen,1,2026-05-29T07:59:02.027Z,67952.39999999997,response,images/chatgpt_2.png,"{""credibility"":""2"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",495704.6,495704.19999999995,427751.428,427746.6,427751.8,495705.5
ID05,html.Screen,2,2026-05-29T07:59:32.642Z,30614.099999999977,response,images/https___www_pandasecurity_com_es_mediacenter_jurado_declara_meta_youtube_responsables_adiccion_.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""3"",""interest"":""4""}",526320,526319.6,495705.028,495704.9,495705.5,526329
ID05,html.Screen,3,2026-05-29T08:00:00.897Z,28245.699999999953,response,images/claude_1.png,"{""credibility"":""5"",""quality"":""4"",""correctness"":""4"",""interest"":""4""}",554575,554574.7,526312.2,526320.2,526329,554577.5
ID05,html.Screen,4,2026-05-29T08:00:31.160Z,30260.599999999977,response,images/gemini_3.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""3"",""interest"":""3""}",584838.4,584838.1,554577.196,554575.1,554577.5,584849.8
ID05,html.Screen,5,2026-05-29T08:01:29.904Z,58731.69999999995,response,images/riesgos_x_5.png,"{""credibility"":""3"",""quality"":""3"",""correctness"":""4"",""interest"":""4""}",643581.8,643581.5,584833,584838.5,584849.8,643587.9
